hsa-miR-127-5p	Txlna
hsa-miR-1271-5p	Cd59a
hsa-miR-1273e	Cd99
hsa-miR-1273e	Gnl3l
hsa-miR-1273g-3p	Ing5
hsa-miR-1273g-5p	Prkx
hsa-miR-1273h-3p	Map1b
hsa-miR-1273h-5p	Slc35e2
hsa-miR-1277-5p	Pck1
hsa-miR-128-3p	Pde3a
hsa-miR-1281	Sectm1b
hsa-miR-1281	Slc38a5
hsa-miR-1283	Atp9a
hsa-miR-1284	Pxdn
hsa-miR-1286	Hmox1
hsa-miR-1287-5p	Igfbp4
hsa-miR-1287-5p	Map1b
hsa-miR-1287-5p	Poteg
hsa-miR-1288-3p	Map4
hsa-miR-1288-5p	Mill2
hsa-miR-1288-5p	Plcg2
hsa-miR-1289	Ang
hsa-miR-129-5p	CAPN2
hsa-miR-1291	Txlna
hsa-miR-1292-3p	Gmps
hsa-miR-1293	Socs6
hsa-miR-1293	Zswim1
hsa-miR-1294	Ptpn3
hsa-miR-1301-3p	Timp3
hsa-miR-1307-3p	Fbxo6
hsa-miR-130a-5p	Vav3
hsa-miR-130b-5p	Sirt4
hsa-miR-132-3p	FOXO3
hsa-miR-132-3p	Mecp2
hsa-miR-132-3p	Vmp1
hsa-miR-1321	Itga11
hsa-miR-1324	Mrrf
hsa-miR-1324	Vmp1
hsa-miR-134-3p	Slc35e2
hsa-miR-134-3p	Tnfrsf10b
hsa-miR-134-5p	Fem1a
hsa-miR-134-5p	Gnl1
hsa-miR-134-5p	Serpine1
hsa-miR-134-5p	Zfp106
hsa-miR-135b-3p	Itga11
hsa-miR-138-5p	TLR7
hsa-miR-139-5p	Ptbp1
hsa-miR-139-5p	Tbx1
hsa-miR-140-3p	Chrdl1
hsa-miR-140-3p	Mobp
hsa-miR-140-3p	Ptbp1
hsa-miR-140-3p	Tgfbr3
hsa-miR-140-5p	Egr2
hsa-miR-142-3p	Hmgb1
hsa-miR-142-3p	Wasl
hsa-miR-143-5p	Ang
hsa-miR-143-5p	Entpd4
hsa-miR-143-5p	Fbxo6
hsa-miR-143-5p	Mapk8ip2
hsa-miR-143-5p	Osbpl10
hsa-miR-143-5p	Tecpr2
hsa-miR-145-5p	Map1b
hsa-miR-146a-3p	Baz2a
hsa-miR-146a-3p	Slfn5
hsa-miR-146a-5p	Erbb4
hsa-miR-146b-3p	Zfp703
hsa-miR-146b-5p	Card10
hsa-miR-146b-5p	Scube2
hsa-miR-1470	Timp3
hsa-miR-147a	Fhl2
hsa-miR-147a	Mitf
hsa-miR-147a	Pla2g16
hsa-miR-147a	Runx1t1
hsa-miR-148a-3p	Tmem127
hsa-miR-148b-3p	Tmem127
hsa-miR-149-3p	Itga11
hsa-miR-150-5p	Dis3
hsa-miR-150-5p	Myb
hsa-miR-152-3p	Tmem127
hsa-miR-153-5p	Thbs1
hsa-miR-1538	Tmem127
hsa-miR-154-3p	Hps3
hsa-miR-154-3p	Poteg
hsa-miR-155-3p	Ddit4
hsa-miR-155-3p	Foxo3
hsa-miR-155-5p	Arntl
hsa-miR-155-5p	Cebpb
hsa-miR-155-5p	Chrdl1
hsa-miR-155-5p	Csf1r
hsa-miR-155-5p	Cux1
hsa-miR-155-5p	Hif1a
hsa-miR-155-5p	Inpp5d
hsa-miR-155-5p	Jarid2
hsa-miR-155-5p	Picalm
hsa-miR-155-5p	Rela
hsa-miR-155-5p	Sfpi1
hsa-miR-155-5p	Sla
hsa-miR-1587	Mill2
hsa-miR-15a-5p	Cask
hsa-miR-15a-5p	Dmpk
hsa-miR-15a-5p	Npepps
hsa-miR-15a-5p	Pdcd1
hsa-miR-15b-3p	4931428F04Rik
hsa-miR-15b-5p	Cask
hsa-miR-15b-5p	Dmpk
hsa-miR-15b-5p	Npepps
hsa-miR-15b-5p	Pdcd1
hsa-miR-16-5p	Cask
hsa-miR-16-5p	Dmpk
hsa-miR-16-5p	Npepps
hsa-miR-16-5p	Pdcd1
hsa-miR-16-5p	Tnf
hsa-miR-17-3p	Cd99
hsa-miR-17-3p	Timp3
hsa-miR-17-3p	Tmem127
hsa-miR-17-5p	Bcl2
hsa-miR-17-5p	Fem1a
hsa-miR-17-5p	Jak2
hsa-miR-17-5p	Piwil2
hsa-miR-17-5p	Stat5a
hsa-miR-17-5p	Tgfbr2
